"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"11-Feb-2019","    10930.90","    10930.90","    10857.10","    10888.80","      285985383","        13818.92"
"12-Feb-2019","    10879.70","    10910.90","    10823.80","    10831.40","      292314643","        14424.78"
"13-Feb-2019","    10870.55","    10891.65","    10772.10","    10793.65","      321958549","        15360.98"
"14-Feb-2019","    10786.10","    10792.70","    10718.75","    10746.05","      627041405","        20797.41"
"15-Feb-2019","    10780.25","    10785.75","    10620.40","    10724.40","      521876968","        20733.95"
"18-Feb-2019","    10738.65","    10759.90","    10628.40","    10640.95","      345440240","        14903.19"
"19-Feb-2019","    10636.70","    10722.85","    10585.65","    10604.35","      291507060","        13765.01"
"20-Feb-2019","    10655.45","    10752.70","    10646.40","    10735.45","      289195306","        13209.71"
"21-Feb-2019","    10744.10","    10808.85","    10721.50","    10789.85","      279584955","        14758.50"
"22-Feb-2019","    10782.70","    10801.55","    10758.40","    10791.65","      396846597","        24386.42"
"25-Feb-2019","    10813.25","    10887.10","    10788.05","    10880.10","      385905142","        16466.09"
"26-Feb-2019","    10775.30","    10888.75","    10729.30","    10835.30","      414954476","        19186.75"
"27-Feb-2019","    10881.20","    10939.70","    10751.20","    10806.65","      381080073","        18313.85"
"28-Feb-2019","    10865.70","    10865.70","    10784.85","    10792.50","      644159018","        27123.34"
"01-Mar-2019","    10842.65","    10877.90","    10823.10","    10863.50","      308526309","        15010.06"
"05-Mar-2019","    10864.85","    10994.90","    10817.00","    10987.45","      373220239","        17960.03"
"06-Mar-2019","    11024.85","    11062.30","    10998.85","    11053.00","      372550850","        17850.93"
"07-Mar-2019","    11077.95","    11089.05","    11027.10","    11058.20","      321208766","        15321.68"
"08-Mar-2019","    11038.85","    11049.00","    11008.95","    11035.40","      326569833","        14369.77"
"11-Mar-2019","    11068.75","    11180.90","    11059.85","    11168.05","      352242287","        17349.95"
"12-Mar-2019","    11231.35","    11320.40","    11227.00","    11301.20","      391310519","        20861.35"
"13-Mar-2019","    11326.20","    11352.30","    11276.60","    11341.70","      382996187","        20851.67"
"14-Mar-2019","    11382.50","    11383.45","    11313.75","    11343.25","      294480678","        15661.05"
"15-Mar-2019","    11376.85","    11487.00","    11370.80","    11426.85","      463704896","        25143.26"
"18-Mar-2019","    11473.85","    11530.15","    11412.50","    11462.20","      320250041","        16942.22"
"19-Mar-2019","    11500.30","    11543.85","    11451.25","    11532.40","      326099667","        16179.92"
"20-Mar-2019","    11553.35","    11556.10","    11503.10","    11521.05","      366298049","        18311.44"
"22-Mar-2019","    11549.20","    11572.80","    11434.55","    11456.90","      386193935","        19755.74"
"25-Mar-2019","    11395.65","    11395.65","    11311.60","    11354.25","      294459196","        14101.14"
"26-Mar-2019","    11375.20","    11496.75","    11352.45","    11483.25","      282575496","        14611.68"
"27-Mar-2019","    11531.45","    11546.20","    11413.00","    11445.05","      350446089","        18356.52"
"28-Mar-2019","    11463.65","    11588.50","    11452.45","    11570.00","      527678809","        25719.65"
"29-Mar-2019","    11625.45","    11630.35","    11570.15","    11623.90","      416276981","        20515.25"
"01-Apr-2019","    11665.20","    11738.10","    11644.75","    11669.15","      379572660","        18977.99"
"02-Apr-2019","    11711.55","    11729.35","    11655.85","    11713.20","      386131413","        18673.70"
"03-Apr-2019","    11735.30","    11761.00","    11629.15","    11643.95","      365760070","        19050.95"
"04-Apr-2019","    11660.20","    11662.55","    11559.20","    11598.00","      349029830","        19713.01"
"05-Apr-2019","    11638.40","    11689.65","    11609.50","    11665.95","      266665797","        15000.35"
"08-Apr-2019","    11704.35","    11710.30","    11549.10","    11604.50","      260932608","        14203.96"
"09-Apr-2019","    11612.05","    11683.90","    11569.70","    11671.95","      300467538","        15984.39"
"10-Apr-2019","    11646.85","    11680.05","    11571.75","    11584.30","      359941110","        22258.46"
"11-Apr-2019","    11592.55","    11606.70","    11550.55","    11596.70","      279775726","        14332.20"
"12-Apr-2019","    11612.85","    11657.35","    11578.80","    11643.45","      246006184","        13598.61"
"15-Apr-2019","    11667.00","    11704.60","    11648.25","    11690.35","      289996075","        15635.79"
"16-Apr-2019","    11736.20","    11810.95","    11731.55","    11787.15","      354315040","        17585.48"
"18-Apr-2019","    11856.15","    11856.15","    11738.50","    11752.80","      339653709","        18271.27"
"22-Apr-2019","    11727.05","    11727.05","    11583.95","    11594.45","      260356055","        13754.12"
"23-Apr-2019","    11612.95","    11645.95","    11564.80","    11575.95","      272544486","        14500.53"
"24-Apr-2019","    11601.50","    11740.85","    11578.85","    11726.15","      335196513","        17046.66"
"25-Apr-2019","    11735.70","    11796.75","    11624.30","    11641.80","      604360395","        28254.30"
"26-Apr-2019","    11683.75","    11762.90","    11661.75","    11754.65","      333483764","        18098.83"
"30-Apr-2019","    11748.75","    11756.25","    11655.90","    11748.15","      532630874","        23324.98"
"02-May-2019","    11725.55","    11789.30","    11699.55","    11724.75","      380278045","        17790.06"
"03-May-2019","    11722.60","    11770.90","    11699.35","    11712.25","      305519934","        15156.32"
"06-May-2019","    11605.80","    11632.55","    11571.35","    11598.25","      299046480","        14703.42"
"07-May-2019","    11651.50","    11657.05","    11484.45","    11497.90","      337495624","        16632.84"
"08-May-2019","    11478.70","    11479.10","    11346.95","    11359.45","      372826025","        17440.01"
"09-May-2019","    11322.40","    11357.60","    11255.05","    11301.80","      373028059","        17602.86"
"10-May-2019","    11314.15","    11345.80","    11251.05","    11278.90","      387323416","        18085.19"
"13-May-2019","    11258.70","    11300.20","    11125.60","    11148.20","      357586433","        16722.91"
"14-May-2019","    11151.65","    11294.75","    11108.30","    11222.05","      398122725","        19906.38"
"15-May-2019","    11271.70","    11286.80","    11136.95","    11157.00","      414174258","        17931.75"
"16-May-2019","    11180.35","    11281.55","    11143.35","    11257.10","      350734572","        15629.57"
"17-May-2019","    11261.90","    11426.15","    11259.85","    11407.15","      412109200","        20177.63"
"20-May-2019","    11651.90","    11845.20","    11591.70","    11828.25","      452096261","        25223.78"
"21-May-2019","    11863.65","    11883.55","    11682.80","    11709.10","      381038129","        20324.67"
"22-May-2019","    11727.95","    11784.80","    11682.40","    11737.90","      355870667","        19582.41"
"23-May-2019","    11901.30","    12041.15","    11614.50","    11657.05","      569030654","        31180.08"
"24-May-2019","    11748.00","    11859.00","    11658.10","    11844.10","      374637415","        20028.49"
"27-May-2019","    11855.50","    11957.15","    11812.40","    11924.75","      348356214","        17735.36"
"28-May-2019","    11958.35","    11958.55","    11864.90","    11928.75","      598308334","        28833.54"
"29-May-2019","    11905.80","    11931.90","    11836.80","    11861.10","      318068673","        15985.92"
